panel,rows,date_min,date_max,grain,zones,missingness,merge_match_rate,target_available,target_status,target_definition
daily_analysis_panel,4763,2022-11-01 00:00:00-04:00,2024-01-07 00:00:00-05:00,zone-local_day,11,"{'interval_start': 0, 'zone': 0, 'daily_mean_load': 0, 'daily_max_load': 0, 'forecast_load_mw': 33, 'load_forecast_error_mw': 33, 'daily_mean_temperature': 0, 'daily_min_temperature': 0, 'daily_max_temperature': 0, 'precipitation_total': 0, 'max_wind_speed': 0, 'generation_outage_mw': 4763, 'hour': 0, 'weekday': 0, 'month': 0, 'weekend': 0, 'season': 0}",0.9930715935334873,no,BLOCKED,Unavailable: P-14B is latest-only and lacks zone; P-54 snapshots lack stable event identity and complete event timing.
hourly_price_panel,114323,2022-11-01 00:00:00-04:00,2024-01-07 23:00:00-05:00,zone-hour,11,"{'interval_start': 0, 'zone': 0, 'da_lbmp': 0, 'rt_lbmp': 0, 'dart': 0, 'actual_load_mw': 0, 'forecast_load_mw': 792, 'forecast_vintage_date': 792, 'load_forecast_error_mw': 792, 'load_ramp': 11, 'hour': 0, 'weekday': 0, 'month': 0, 'weekend': 0, 'season': 0}",1.0,not_applicable,PRICE_EXTENSION_ONLY,DART = mean hourly RT LBMP - DA LBMP; not causal.
