dataset,source,status,requested_month,url,retrieval_time,rows,columns,source_columns,date_min,date_max,unique_zones,missingness,duplicates,saved_path,blocker,notes
da_lbmp,NYISO MIS P-2A,READY,2023-03,https://mis.nyiso.com/public/csv/damlbmp/20230301damlbmp_zone_csv.zip,2026-07-17T10:32:08.777206-04:00,11145,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-03-01 00:00:00,2023-03-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230301damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-04,https://mis.nyiso.com/public/csv/damlbmp/20230401damlbmp_zone_csv.zip,2026-07-17T10:32:09.167830-04:00,10800,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-04-01 00:00:00,2023-04-30 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230401damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-05,https://mis.nyiso.com/public/csv/damlbmp/20230501damlbmp_zone_csv.zip,2026-07-17T10:32:09.571685-04:00,11160,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-05-01 00:00:00,2023-05-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230501damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-06,https://mis.nyiso.com/public/csv/damlbmp/20230601damlbmp_zone_csv.zip,2026-07-17T10:32:09.825641-04:00,10800,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-06-01 00:00:00,2023-06-30 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230601damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-07,https://mis.nyiso.com/public/csv/damlbmp/20230701damlbmp_zone_csv.zip,2026-07-17T10:32:10.369123-04:00,11160,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-07-01 00:00:00,2023-07-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230701damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-08,https://mis.nyiso.com/public/csv/damlbmp/20230801damlbmp_zone_csv.zip,2026-07-17T10:32:10.666361-04:00,11160,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-08-01 00:00:00,2023-08-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230801damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-09,https://mis.nyiso.com/public/csv/damlbmp/20230901damlbmp_zone_csv.zip,2026-07-17T10:32:11.128582-04:00,10800,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-09-01 00:00:00,2023-09-30 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20230901damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-10,https://mis.nyiso.com/public/csv/damlbmp/20231001damlbmp_zone_csv.zip,2026-07-17T10:32:11.571370-04:00,11160,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-10-01 00:00:00,2023-10-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20231001damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-11,https://mis.nyiso.com/public/csv/damlbmp/20231101damlbmp_zone_csv.zip,2026-07-17T10:32:11.876642-04:00,10815,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-11-01 00:00:00,2023-11-30 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20231101damlbmp_zone_csv.parquet,,
da_lbmp,NYISO MIS P-2A,READY,2023-12,https://mis.nyiso.com/public/csv/damlbmp/20231201damlbmp_zone_csv.zip,2026-07-17T10:32:12.341703-04:00,11160,"[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]","[""Time Stamp"", ""Name"", ""PTID"", ""LBMP ($/MWHr)"", ""Marginal Cost Losses ($/MWHr)"", ""Marginal Cost Congestion ($/MWHr)"", ""_source_file""]",2023-12-01 00:00:00,2023-12-31 23:00:00,15.0,"{""Time Stamp"": 0, ""Name"": 0, ""PTID"": 0, ""LBMP ($/MWHr)"": 0, ""Marginal Cost Losses ($/MWHr)"": 0, ""Marginal Cost Congestion ($/MWHr)"": 0, ""_source_file"": 0}",0,/Users/lin_/Numerati_Summer_NYISO/data/raw/nyiso/da_lbmp/20231201damlbmp_zone_csv.parquet,,
